KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001140001,T001140002,T001140003,T001140004,T001140005,T001140006,T001140007,T001140008,T001140009,T001140010,T001140011,T001140012,T001140013,T001140014,T001140015,T001140016,T001140017,T001140018,T001140019,T001140020,T001140021,T001140022,T001140023,T001140024,T001140025,T001140026,T001140027,T001140028,T001140029,T001140030,T001140031,T001140032,T001140033,T001140034,T001140035,T001140036,T001140037,T001140038,T001140039,T001140040,T001140041,T001140042,T001140043,T001140044,T001140045,T001140046,T001140047,T001140048,T001140049,T001140050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
55404154,2,55404155,,8,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55404155,1,,55404154,18,10,8,4,2,2,22,13,9,14,9,5,22,13,9,22,13,9,8,4,4,7,3,4,1,1,0,0,0,0,0,0,0,4,4,1,1,1,0,0,1,2,4,1,3,2,4,0,0,0
55404156,1,,55404167,10,5,5,0,0,0,13,7,6,5,3,2,13,7,6,13,7,6,8,4,4,3,1,2,0,0,0,0,0,0,0,0,0,4,4,2,3,0,0,1,0,0,4,4,0,0,6,0,2,2
55404157,2,55404147,,11,6,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55404158,0,,,27,12,15,4,1,3,23,11,12,12,6,6,23,11,12,23,11,12,11,5,6,6,1,5,4,1,3,0,0,0,0,0,0,9,9,3,1,0,3,2,0,0,6,1,5,2,8,0,3,0
55404160,1,,55404150;55404151;55404161;55404170,75,41,34,9,6,3,84,42,42,53,25,28,83,41,42,82,41,41,31,17,14,19,10,9,10,5,5,0,0,0,1,0,1,19,19,4,6,7,5,1,1,3,23,14,9,4,22,0,3,3
55404161,2,55404160,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55404162,0,,,55,29,26,0,0,0,55,29,26,35,19,16,54,29,25,49,25,24,20,10,10,13,5,8,5,2,3,0,0,0,0,0,0,17,17,5,2,1,3,5,1,0,12,3,9,0,13,0,2,1
55404163,1,,55404164,11,6,5,0,0,0,13,7,6,5,3,2,13,7,6,13,7,6,8,4,4,1,1,0,1,1,0,0,0,0,0,0,0,6,6,3,2,2,0,0,0,0,3,3,0,0,6,0,2,1
55404164,2,55404163,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55404165,2,55404166,,9,3,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55404166,1,,55404165,16,8,8,3,1,2,22,10,12,9,4,5,22,10,12,22,10,12,13,6,7,7,2,5,3,1,2,0,0,0,0,0,0,8,8,5,4,1,1,1,0,0,7,7,0,1,10,0,5,2
55404167,2,55404156,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55404168,0,,,198,102,96,18,12,6,180,90,90,101,55,46,173,87,86,170,85,85,79,35,44,39,15,24,13,4,9,0,0,0,1,0,1,57,57,7,19,6,7,8,4,6,49,24,25,5,47,0,4,11
55404170,2,55404160,,6,2,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55404171,0,,,75,40,35,1,1,0,74,39,35,51,27,24,71,39,32,70,39,31,23,12,11,11,6,5,3,1,2,0,0,0,0,0,0,25,25,4,7,8,1,2,2,1,19,11,8,0,17,0,3,2
55404172,0,,,18,10,8,4,3,1,14,7,7,8,4,4,12,6,6,12,6,6,6,3,3,1,0,1,1,0,1,0,0,0,0,0,0,4,4,1,1,1,0,0,0,1,3,2,1,1,4,0,1,0
