book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,DTW_Shape,DTW_Time,Total_Sales
ラジオ深夜便_original,6.733707,9.756289,148.438,430.95724,319.8936,299.76294,0.90625,76.91944863170876,5.246913580246914,578.0
ララ_original,5.6690316,9.245927,157.79286,362.81802,301.474,274.0283,0.90625,73.29574106588228,28.611570247933884,391.0
ランナーズ_original,1.930221,3.6032035,46.73429,123.53414,111.283264,93.85056,0.828125,28.710004487630197,4.963855421686747,147.0
リベルインデックス_original,2.3462796,3.0632217,46.589394,150.1619,147.24905,114.66678,0.359375,21.00316897264692,22.691056910569106,260.0
リベルデュオ_original,7.259081,8.776828,136.5315,464.58118,497.0558,366.05615,0.234375,66.60791186029819,12.727272727272727,689.0
リンネル_original,3.0052364,4.67392,81.8203,192.33513,161.84294,145.33278,0.921875,37.351003122393195,21.02803738317757,241.0
リーダーの仮面_いちプレーヤー,0.9816416,1.2790128,22.54627,62.82506,35.462757,40.27803,0.921875,9.299873576535962,2.6341463414634148,91.0
ルックバック_original,1.5683851,2.114298,131.57095,100.37665,97.56979,109.839134,1.0,11.77948927343232,19.6875,141.0
ルパン三世THEDVDコレク全国版_創刊,0.015625283,0.125,97.23157,1.0000181,96.831566,65.02105,1.0,1.0000000003128169,9.947368421052632,1.0
ルリドラゴン_original,2.2507577,2.6408477,250.74243,144.0485,292.1034,228.96477,1.0,19.286966040010068,23.18421052631579,154.0
レコード・コレクターズ_original,3.054343,4.7445383,79.35579,195.47795,147.95807,140.9306,0.921875,37.88252419167205,21.383928571428573,182.0
レタスクラブ_original,5.0138917,7.081777,185.32935,320.88907,174.06277,226.76039,0.890625,36.7903909877916,9.652173913043478,677.0
レディースアロー＆スケルトン_original,1.7688799,2.9587698,58.70185,113.20831,97.28454,89.73157,0.921875,23.119933974919174,9.073684210526316,108.0
レディーススケルトンＳＰ_original,2.3347208,3.8489747,52.92594,149.42213,128.40195,110.25001,0.828125,30.580445970191786,1.7826086956521738,143.0
レモンと殺人鬼_original,0.89615226,1.0584602,19.660204,57.353745,31.108128,36.04069,0.96875,8.413604111075278,6.344827586206897,66.0
ロジックパラダイス_original,3.7798698,7.6931562,134.74142,241.91167,249.72345,208.79218,0.921875,60.21480901314114,21.703703703703702,252.0
ロジックメイトMINI_original,1.6265678,2.6781266,36.64312,104.10034,86.47265,75.73871,0.859375,21.181683093107722,13.862068965517242,94.0
ロジックメイト_original,1.771181,3.1999564,35.926636,113.35558,105.21955,84.83392,0.921875,24.949759519731103,18.333333333333332,71.0
ロッキングオン_original,1.829679,3.0109968,46.708183,117.09946,98.525665,87.444435,0.859375,24.00052506200671,1.1142857142857143,112.0
ロッキング・オン・ジャパン_original,4.195734,8.457291,138.15565,268.52698,289.4443,232.04231,0.9375,67.47738431929184,10.96808510638298,225.0
ロト・ナンバーズ_original,2.2780142,3.8540704,71.57381,145.79291,116.0222,111.12964,0.90625,28.852680049015135,2.120879120879121,153.0
ワイルド・スピードカーコレ_全国版,0.5482272,0.73099965,276.5467,35.08654,274.43097,195.35474,1.0,5.5476923340214706,6.586666666666667,26.0
ワンパンマン_original,21.027145,52.42738,828.9031,1345.7373,1577.7336,1250.7914,0.90625,415.70049627863807,4.108108108108108,1625.0
ワールドサッカーダイジェスト_original,4.895945,6.342516,107.971565,313.34048,188.15237,203.1548,0.84375,34.856445925742115,5.333333333333333,301.0
ワールドトリガー_original,0.8493936,1.4490007,607.43823,54.36119,586.3474,416.04895,1.0,10.576099230087987,30.0,55.0
